TableID,TableName,Name,DataType,Size,Nullable,Description,IsInCSV,Scrambled
9004000,Round,Type,string,50,True,The type of this round. Possible values include: Cup; Table,True,False
9004000,Round,StartDate,date,,True,The start date of the round (UTC),True,False
9004000,Round,EndDate,date,,True,The end date of the round (UTC),True,False
9004000,Round,CurrentWeek,integer,32,True,The current week that this round is in,True,False
9004000,Round,CurrentRound,boolean,,False,Indicates whether or not this round is the current round of the competition/season,True,False
9004000,Round,Games,Game[],32,True,Games that are part of this round,False,False
9004000,Round,Standings,Standing[],32,True,Standing records associated with this round,False,False
9004000,Round,TeamSeasons,TeamSeason[],32,True,Team Stat records associated with this round.,False,False
9004000,Round,PlayerSeasons,PlayerSeason[],32,True,Player Season stat records associated with this round,False,False
9005000,Team,TeamId,integer,32,False,The auto-generated unique ID of the Team,True,False
9005000,Team,AreaId,integer,32,True,The unique ID of the team's current home arena,True,False
9005000,Team,VenueId,integer,32,True,The unique ID of the team's current home venue,True,False
9005000,Team,[Key],string,10,True,Abbreviation of the team (e.g. LIV; ARS; etc.),True,False
9005000,Team,Name,string,50,False,The mascot of the team (e.g. The Reds; The Gunners; etc.),True,False
9005000,Team,FullName,string,100,True,The full name of the team (e.g. Liverpool Football Club; Arsenal Football Club; etc.),True,False
9005000,Team,Active,boolean,,False,Whether or not this team is active,True,False
9005000,Team,AreaName,string,50,True,The area name of the home team,True,False
9005000,Team,VenueName,string,50,True,The venue name of the home team,True,False
9005000,Team,Gender,string,10,True,Indicates the gender of the players on this team (possible values: Make; Female),True,False
9005000,Team,Type,string,10,True,The type of this team. Possible values: Club; National,True,False
9005000,Team,Address,string,100,True,The address of the home team,True,False
9005000,Team,City,string,50,True,The city of the home team,True,False
9005000,Team,Zip,string,50,True,The zip code of the home team,True,False
9005000,Team,Phone,string,50,True,The phone number of the home team,True,False
9005000,Team,Fax,string,50,True,The fax number of the home team,True,False
9005000,Team,Website,string,50,True,The website address of the home team,True,False
9005000,Team,Email,string,50,True,The email of the home team,True,False
9005000,Team,Founded,integer,32,True,The year the team was founded (e.g. 1950; 1960; etc.),True,False
9005000,Team,ClubColor1,string,50,True,The primary color of this team's logo/uniform/branding,True,False
9005000,Team,ClubColor2,string,50,True,The secondary color of this team's logo/uniform/branding,True,False
9005000,Team,ClubColor3,string,50,True,The tertiary color of this team's logo/uniform/branding,True,False
9005000,Team,Nickname1,string,50,True,A nickname for this team,True,False
9005000,Team,Nickname2,string,50,True,A nickname for this team,True,False
9005000,Team,Nickname3,string,50,True,A nickname for this team,True,False
9005000,Team,WikipediaLogoUrl,string,250,True,The link to the team's logo hosted on Wikipedia. (This is not licensed for public or commercial use),True,False
9005000,Team,WikipediaWordMarkUrl,string,250,True,The link to the team's wordmark logo hosted on Wikipedia. (This is not licensed for public or commercial use),True,False
9005000,Team,GlobalTeamId,integer,32,False,A globally unique ID for this team. This value is guaranteed to be unique across all sports/leagues.,False,False
9006000,Venue,VenueId,integer,32,False,The unique ID of the venue,True,False
9006000,Venue,Name,string,50,False,The full name of the venue,True,False
9006000,Venue,Address,string,100,True,The address where the venue is located,True,False
9006000,Venue,City,string,50,True,The city where the venue is located,True,False
9006000,Venue,Zip,string,50,True,The zip code of the venue,True,False
9006000,Venue,Country,string,50,True,The 2-digit country code where the venue is located,True,False
9006000,Venue,[Open],boolean,,False,Indicates whether this venue is actively used,True,False
9006000,Venue,Opened,integer,32,True,The year the venue opened (e.g. 1950; 1960; etc),True,False
9006000,Venue,Nickname1,string,100,True,A nickname for this venue,True,False
9006000,Venue,Nickname2,string,100,True,A nickname for this venue,True,False
9006000,Venue,Capacity,integer,32,True,The estimated seating capacity of the venue,True,False
9006000,Venue,Surface,string,50,True,The playing surface of the stadium (Grass or Artificial),True,False
9006000,Venue,GeoLat,decimal,32,True,The geographic latitude coordinate of this venue.,True,False
9006000,Venue,GeoLong,decimal,32,True,The geographic longitude coordinate of this venue.,True,False
9007000,SeasonTeam,SeasonTeamId,integer,32,False,Unique ID of this season/team combination,True,False
9007000,SeasonTeam,SeasonId,integer,32,False,Unique ID of the season associated with this record,True,False
9007000,SeasonTeam,TeamId,integer,32,False,Unique ID of the team associated with this record,True,False
9007000,SeasonTeam,TeamName,string,50,False,The name of the team associated with this record,True,False
9007000,SeasonTeam,Active,boolean,,False,Whether this team is actively associated with this season,True,False
9007000,SeasonTeam,Gender,string,10,True,Indicates the gender of the players on this team (possible values: Make; Female),True,False
9007000,SeasonTeam,Type,string,10,True,The type of this season/team (possible values: Club; National),True,False
9007000,SeasonTeam,Team,Team,,True,The team details of this season/team association,True,False
9008000,Game,GameId,integer,32,False,The unique ID of the game.,True,False
9008000,Game,RoundId,integer,32,False,The RoundId of the round that this game is associated with.,True,False
9008000,Game,Season,integer,32,False,The calendar year of the season during which this game occurs.,True,False
9008000,Game,SeasonType,integer,32,False,The type of season that this record corresponds to (1=Regular Season; 2=Preseason; 3=Postseason; 4=Offseason; 5=AllStar).,True,False
9008000,Game,Group,string,50,True,The name of the group in which this game occurs. This is used in tournaments / cups.,True,False
9008000,Game,AwayTeamId,integer,32,True,The TeamId of the away team.,True,False
9008000,Game,HomeTeamId,integer,32,True,The TeamId of the home team.,True,False
9008000,Game,VenueId,integer,32,True,The VenueId of the venue.,True,False
9008000,Game,Day,date,,True,The day that the game is scheduled to be played in UTC.,True,False
9008000,Game,DateTime,datetime,,True,The date/time that the game is scheduled to be played in UTC.,True,False
9008000,Game,Status,string,10,True,Indicates the game's status. Possible values include: Scheduled; InProgress; Break; Final; Awarded; Postponed; Canceled; Suspended. If a game is called off before it starts; the Status is set to Postponed; until a new date/time is scheduled; at which point; the DateTime is updated; and the Status is set back to Scheduled. If a game has already started; and temporarily interrupted; it's Status is set to Suspended; until it either resumes; or gets postponed and replayed at a later date. If the game is at halftime; then the Status will be Break. Awarded is used in cases where a game is decided on the so called "green table." That means that a game was decided by the Federation/League to one team for a reason. This can include situations like riots; where the opponent team gets 3:0 win awarded as punishment. Awarded is also used when a club withdraws during the season from the competition then all the remaining matches getting awarded 3:0.,True,False
9008000,Game,Week,integer,32,True,The week during the season/round in which this game occurs.,True,False
9008000,Game,Period,string,20,True,The final period of the game. Possible values: Regular = Game ended in 90 minutes of regular time; ExtraTime = Game ended in extra time / overtime; PenaltyShootout = Game finished in penalty shootout time,True,False
9008000,Game,Clock,integer,32,True,The clock for the game if it is in progress. If the games hasn't started or the game is over; then this will be NULL.,True,False
9008000,Game,Winner,string,10,True,The winner of the game. Possible values include: AwayTeam; HomeTeam; Draw,True,True
9008000,Game,VenueType,string,10,True,Indicates home field advantage. Possible values include: Home Away; Neutral,True,False
9008000,Game,AwayTeamKey,string,10,True,The abbreviation of the away team.,True,False
9008000,Game,AwayTeamName,string,50,True,The name of the away team.,True,False
9008000,Game,AwayTeamCountryCode,string,10,True,The country code of the away team.,True,False
9008000,Game,AwayTeamScore,integer,32,True,The final score of the away team.,True,True
9008000,Game,AwayTeamScorePeriod1,integer,32,True,The first period score of the away team.,True,True
9008000,Game,AwayTeamScorePeriod2,integer,32,True,The second period score of the away team.,True,True
9008000,Game,AwayTeamScoreExtraTime,integer,32,True,The extra time (overtime) score of the away team (if applicable).,True,True
9008000,Game,AwayTeamScorePenalty,integer,32,True,The penalty shootout score of the away team (if applicable).,True,True
9008000,Game,HomeTeamKey,string,10,True,The abbreviation of the home team.,True,False
9008000,Game,HomeTeamName,string,50,True,The name of the home team.,True,False
9008000,Game,HomeTeamCountryCode,string,10,True,The country code of the home team.,True,False
9008000,Game,HomeTeamScore,integer,32,True,The final score of the home team.,True,True
9008000,Game,HomeTeamScorePeriod1,integer,32,True,The first period score of the home team.,True,True
9008000,Game,HomeTeamScorePeriod2,integer,32,True,The second period score of the home team.,True,True
9008000,Game,HomeTeamScoreExtraTime,integer,32,True,The extra time (overtime) score of the home team (if applicable).,True,True
9008000,Game,HomeTeamScorePenalty,integer,32,True,The penalty shootout score of the home team (if applicable).,True,True
9008000,Game,HomeTeamMoneyLine,integer,32,True,Payout on a bet that the home team wins.,True,True
9008000,Game,AwayTeamMoneyLine,integer,32,True,Payout on a bet that the away team wins.,True,True
9008000,Game,DrawMoneyLine,integer,32,True,Payout on a bet that the game is a draw.,True,True
9008000,Game,PointSpread,decimal,32,True,Point spread for the home team. This is updated once daily at 4:00 AM ET.,True,True
9008000,Game,HomeTeamPointSpreadPayout,integer,32,True,Payout if the home team beats the spread. This is updated once daily at 4:00 AM ET.,True,True
9008000,Game,AwayTeamPointSpreadPayout,integer,32,True,Payout if the away team beats the spread. This is updated once daily at 4:00 AM ET.,True,True
9008000,Game,OverUnder,decimal,32,True,Over/Under total goals for the game. This is updated once daily at 4:00 AM ET.,True,True
9008000,Game,OverPayout,integer,32,True,Payout for the over bet. This is updated once daily at 4:00 AM ET.,True,True
9008000,Game,UnderPayout,integer,32,True,Payout for the under bet. This is updated once daily at 4:00 AM ET.,True,True
9008000,Game,Attendance,integer,32,True,The attendance for the game.,True,False
9008000,Game,Updated,datetime,,True,The timestamp of when this record was updated; based on US Eatern Time (EST/EDT).,True,False
9008000,Game,UpdatedUtc,datetime,,True,The timestamp of when this record was updated; based on Universal Coordinated Time (UTC).,True,False
9008000,Game,GlobalGameId,integer,32,False,A globally unique ID for this game. This value is guaranteed to be unique across all sports/leagues.,False,False
9008000,Game,GlobalAwayTeamId,integer,32,True,A globally unique ID for the away team. This value is guaranteed to be unique across all sports/leagues.,False,False
9008000,Game,GlobalHomeTeamId,integer,32,True,A globally unique ID for the home team. This value is guaranteed to be unique across all sports/leagues.,False,False
9008000,Game,ClockExtra,integer,32,True,The added stoppage time minute the game is currently in. Will be null when game is not in stoppage time.,True,False
9008000,Game,ClockDisplay,string,50,True,A convenient string display of the current clock with format Clock+ClockExtra (ex 90+3),True,False
9008000,Game,IsClosed,boolean,,True,Indicates whether the game is over and the final score and stats have been verified and closed out,True,False
9008000,Game,HomeTeamFormation,string,20,True,The formation for the home team (4-4-2; 4-3-3; etc.). ,True,False
9008000,Game,AwayTeamFormation,string,20,True,The formation for the away team (4-4-2; 4-3-3; etc.),True,False
9008000,Game,PlayoffAggregateScore,PlayoffAggregateScore,,True,Aggregate scoring information for 2-leg/home-and-home games (i.e. Champions League Round of 16).  Team A is determined by the first leg’s home team.,True,False
9045000,ScoreBasic,Period,string,20,True,The final period of the game. Possible values: Regular = Game ended in 90 minutes of regular time; ExtraTime = Game ended in extra time / overtime; PenaltyShootout = Game finished in penalty shootout time,True,False
9045000,ScoreBasic,Clock,integer,32,True,The clock for the game if it is in progress. If the games hasn't started or the game is over; then this will be NULL.,True,False
9045000,ScoreBasic,GameId,integer,32,False,The unique ID of the game.,True,False
9045000,ScoreBasic,RoundId,integer,32,False,The RoundId of the round that this game is associated with.,True,False
9045000,ScoreBasic,Season,integer,32,False,The calendar year of the season during which this game occurs.,True,False
9045000,ScoreBasic,SeasonType,integer,32,False,The type of season that this record corresponds to (1=Regular Season; 2=Preseason; 3=Postseason; 4=Offseason; 5=AllStar).,True,False
9045000,ScoreBasic,Group,string,50,True,The name of the group in which this game occurs. This is used in tournaments / cups.,True,False
9045000,ScoreBasic,AwayTeamId,integer,32,True,The TeamId of the away team.,True,False
9045000,ScoreBasic,HomeTeamId,integer,32,True,The TeamId of the home team.,True,False
9045000,ScoreBasic,VenueId,integer,32,True,The VenueId of the venue.,True,False
9045000,ScoreBasic,Day,date,,True,The day that the game is scheduled to be played in UTC.,True,False
9045000,ScoreBasic,DateTime,datetime,,True,The date/time that the game is scheduled to be played in UTC.,True,False
9045000,ScoreBasic,Status,string,10,True,Indicates the game's status. Possible values include: Scheduled; InProgress; Break; Final; Awarded; Postponed; Canceled; Suspended. If a game is called off before it starts; the Status is set to Postponed; until a new date/time is scheduled; at which point; the DateTime is updated; and the Status is set back to Scheduled. If a game has already started; and temporarily interrupted; it's Status is set to Suspended; until it either resumes; or gets postponed and replayed at a later date. If the game is at halftime; then the Status will be Break. Awarded is used in cases where a game is decided on the so called "green table." That means that a game was decided by the Federation/League to one team for a reason. This can include situations like riots; where the opponent team gets 3:0 win awarded as punishment. Awarded is also used when a club withdraws during the season from the competition then all the remaining matches getting awarded 3:0.,True,False
9045000,ScoreBasic,Week,integer,32,True,The week during the season/round in which this game occurs.,True,False
9045000,ScoreBasic,Winner,string,10,True,The winner of the game. Possible values include: AwayTeam; HomeTeam; Draw,True,True
9045000,ScoreBasic,VenueType,string,10,True,Indicates home field advantage. Possible values include: Home Away; Neutral,True,False
9045000,ScoreBasic,AwayTeamKey,string,10,True,The abbreviation of the away team.,True,False
9045000,ScoreBasic,AwayTeamName,string,50,True,The name of the away team.,True,False
9045000,ScoreBasic,AwayTeamCountryCode,string,10,True,The country code of the away team.,True,False
9045000,ScoreBasic,AwayTeamScore,integer,32,True,The final score of the away team.,True,True
9045000,ScoreBasic,AwayTeamScorePeriod1,integer,32,True,The first period score of the away team.,True,True
9045000,ScoreBasic,AwayTeamScorePeriod2,integer,32,True,The second period score of the away team.,True,True
9045000,ScoreBasic,AwayTeamScoreExtraTime,integer,32,True,The extra time (overtime) score of the away team (if applicable).,True,True
9045000,ScoreBasic,AwayTeamScorePenalty,integer,32,True,The penalty shootout score of the away team (if applicable).,True,True
9045000,ScoreBasic,HomeTeamKey,string,10,True,The abbreviation of the home team.,True,False
9045000,ScoreBasic,HomeTeamName,string,50,True,The name of the home team.,True,False
9045000,ScoreBasic,HomeTeamCountryCode,string,10,True,The country code of the home team.,True,False
9045000,ScoreBasic,HomeTeamScore,integer,32,True,The final score of the home team.,True,True
9045000,ScoreBasic,HomeTeamScorePeriod1,integer,32,True,The first period score of the home team.,True,True
9045000,ScoreBasic,HomeTeamScorePeriod2,integer,32,True,The second period score of the home team.,True,True
9045000,ScoreBasic,HomeTeamScoreExtraTime,integer,32,True,The extra time (overtime) score of the home team (if applicable).,True,True
9045000,ScoreBasic,HomeTeamScorePenalty,integer,32,True,The penalty shootout score of the home team (if applicable).,True,True
9045000,ScoreBasic,Updated,datetime,,True,The timestamp of when this record was updated; based on US Eatern Time (EST/EDT).,True,False
9045000,ScoreBasic,UpdatedUtc,datetime,,True,The timestamp of when this record was updated; based on Universal Coordinated Time (UTC).,True,False
9045000,ScoreBasic,GlobalGameId,integer,32,False,A globally unique ID for this game. This value is guaranteed to be unique across all sports/leagues.,False,False
9045000,ScoreBasic,GlobalAwayTeamId,integer,32,True,A globally unique ID for the away team. This value is guaranteed to be unique across all sports/leagues.,False,False
9045000,ScoreBasic,GlobalHomeTeamId,integer,32,True,A globally unique ID for the home team. This value is guaranteed to be unique across all sports/leagues.,False,False
9045000,ScoreBasic,IsClosed,boolean,,True,Indicates whether the game is over and the final score and stats have been verified and closed out,True,False
9045000,ScoreBasic,PlayoffAggregateScore,PlayoffAggregateScore,,True,Aggregate scoring information for 2-leg/home-and-home games (i.e. Champions League Round of 16).  Team A is determined by the first leg’s home team.,True,False
9044000,ScheduleBasic,GameId,integer,32,False,The unique ID of the game.,True,False
9044000,ScheduleBasic,RoundId,integer,32,False,The RoundId of the round that this game is associated with.,True,False
9044000,ScheduleBasic,Season,integer,32,False,The calendar year of the season during which this game occurs.,True,False
9044000,ScheduleBasic,SeasonType,integer,32,False,The type of season that this record corresponds to (1=Regular Season; 2=Preseason; 3=Postseason; 4=Offseason; 5=AllStar).,True,False
9044000,ScheduleBasic,Group,string,50,True,The name of the group in which this game occurs. This is used in tournaments / cups.,True,False
9044000,ScheduleBasic,AwayTeamId,integer,32,True,The TeamId of the away team.,True,False
9044000,ScheduleBasic,HomeTeamId,integer,32,True,The TeamId of the home team.,True,False
9044000,ScheduleBasic,VenueId,integer,32,True,The VenueId of the venue.,True,False
9044000,ScheduleBasic,Day,date,,True,The day that the game is scheduled to be played in UTC.,True,False
9044000,ScheduleBasic,DateTime,datetime,,True,The date/time that the game is scheduled to be played in UTC.,True,False
9044000,ScheduleBasic,Status,string,10,True,Indicates the game's status. Possible values include: Scheduled; InProgress; Break; Final; Awarded; Postponed; Canceled; Suspended. If a game is called off before it starts; the Status is set to Postponed; until a new date/time is scheduled; at which point; the DateTime is updated; and the Status is set back to Scheduled. If a game has already started; and temporarily interrupted; it's Status is set to Suspended; until it either resumes; or gets postponed and replayed at a later date. If the game is at halftime; then the Status will be Break. Awarded is used in cases where a game is decided on the so called "green table." That means that a game was decided by the Federation/League to one team for a reason. This can include situations like riots; where the opponent team gets 3:0 win awarded as punishment. Awarded is also used when a club withdraws during the season from the competition then all the remaining matches getting awarded 3:0.,True,False
9044000,ScheduleBasic,Week,integer,32,True,The week during the season/round in which this game occurs.,True,False
9044000,ScheduleBasic,Winner,string,10,True,The winner of the game. Possible values include: AwayTeam; HomeTeam; Draw,True,True
9044000,ScheduleBasic,VenueType,string,10,True,Indicates home field advantage. Possible values include: Home Away; Neutral,True,False
9044000,ScheduleBasic,AwayTeamKey,string,10,True,The abbreviation of the away team.,True,False
9044000,ScheduleBasic,AwayTeamName,string,50,True,The name of the away team.,True,False
9044000,ScheduleBasic,AwayTeamCountryCode,string,10,True,The country code of the away team.,True,False
9044000,ScheduleBasic,AwayTeamScore,integer,32,True,The final score of the away team.,True,True
9044000,ScheduleBasic,AwayTeamScorePeriod1,integer,32,True,The first period score of the away team.,True,True
9044000,ScheduleBasic,AwayTeamScorePeriod2,integer,32,True,The second period score of the away team.,True,True
9044000,ScheduleBasic,AwayTeamScoreExtraTime,integer,32,True,The extra time (overtime) score of the away team (if applicable).,True,True
9044000,ScheduleBasic,AwayTeamScorePenalty,integer,32,True,The penalty shootout score of the away team (if applicable).,True,True
9044000,ScheduleBasic,HomeTeamKey,string,10,True,The abbreviation of the home team.,True,False
9044000,ScheduleBasic,HomeTeamName,string,50,True,The name of the home team.,True,False
9044000,ScheduleBasic,HomeTeamCountryCode,string,10,True,The country code of the home team.,True,False
9044000,ScheduleBasic,HomeTeamScore,integer,32,True,The final score of the home team.,True,True
9044000,ScheduleBasic,HomeTeamScorePeriod1,integer,32,True,The first period score of the home team.,True,True
9044000,ScheduleBasic,HomeTeamScorePeriod2,integer,32,True,The second period score of the home team.,True,True
9044000,ScheduleBasic,HomeTeamScoreExtraTime,integer,32,True,The extra time (overtime) score of the home team (if applicable).,True,True
9044000,ScheduleBasic,HomeTeamScorePenalty,integer,32,True,The penalty shootout score of the home team (if applicable).,True,True
9044000,ScheduleBasic,Updated,datetime,,True,The timestamp of when this record was updated; based on US Eatern Time (EST/EDT).,True,False
9044000,ScheduleBasic,UpdatedUtc,datetime,,True,The timestamp of when this record was updated; based on Universal Coordinated Time (UTC).,True,False
9044000,ScheduleBasic,GlobalGameId,integer,32,False,A globally unique ID for this game. This value is guaranteed to be unique across all sports/leagues.,False,False
9044000,ScheduleBasic,GlobalAwayTeamId,integer,32,True,A globally unique ID for the away team. This value is guaranteed to be unique across all sports/leagues.,False,False
9044000,ScheduleBasic,GlobalHomeTeamId,integer,32,True,A globally unique ID for the home team. This value is guaranteed to be unique across all sports/leagues.,False,False
9044000,ScheduleBasic,IsClosed,boolean,,True,Indicates whether the game is over and the final score and stats have been verified and closed out,True,False
9044000,ScheduleBasic,PlayoffAggregateScore,PlayoffAggregateScore,,True,Aggregate scoring information for 2-leg/home-and-home games (i.e. Champions League Round of 16).  Team A is determined by the first leg’s home team.,True,False
9051000,FantasyGame,GameID,integer,32,True,The unique ID of this game,True,False
9051000,FantasyGame,PlayerID,integer,32,True,Unique ID assigned to each player that stays with them throughout their career,True,False
9051000,FantasyGame,SeasonType,integer,32,True,The type of season that this record corresponds to (1=Regular Season; 2=Preseason; 3=Postseason; 4=Offseason; 5=AllStar).,True,False
9051000,FantasyGame,Season,integer,32,True,The soccer season of the game,True,False
9051000,FantasyGame,Day,date,,True,The day of the game,True,False
9051000,FantasyGame,DateTime,datetime,,True,The date and time of the game (UTC),True,False
9051000,FantasyGame,Team,string,50,True,The abbreviation of the Team,True,False
9051000,FantasyGame,Opponent,string,10,True,The name of the opponent,True,False
9051000,FantasyGame,Jersey,integer,32,True,The player's jersey number.,True,False
9051000,FantasyGame,Name,string,100,True,The player's name,True,False
9051000,FantasyGame,Position,string,10,True,The position of the player. Possible values include: A (Attacker); M (Midfielder); D (Defender); GK (Goalkeeper),True,False
9051000,FantasyGame,PositionCategory,string,10,True,The player's position category.,True,False
9051000,FantasyGame,Started,integer,32,True,Number of games the player started,True,False
9051000,FantasyGame,FantasyPoints,decimal,32,True,Total fantasy points,True,False
9051000,FantasyGame,IsGameOver,boolean,,False,Whether the game is over (true/false),True,False
9051000,FantasyGame,FantasyPointsFanDuel,decimal,32,True,Total Fan Duel daily fantasy points scored,True,False
9051000,FantasyGame,FantasyPointsYahoo,decimal,32,True,Total Yahoo daily fantasy points scored,True,False
9051000,FantasyGame,FantasyPointsDraftKings,decimal,32,True,Total Draft Kings daily fantasy points scored,True,False
9051000,FantasyGame,FanDuelPosition,string,10,True,The player's eligible position in FanDuel's daily fantasy sports platform.,True,False
9051000,FantasyGame,DraftKingsPosition,string,10,True,The player's eligible position in DraftKings' daily fantasy sports platform.,True,False
9051000,FantasyGame,YahooPosition,string,10,True,The player's eligible position in Yahoo's daily fantasy sports platform.,True,False
9051000,FantasyGame,GlobalGameID,integer,32,True,A globally unique ID for this game. This value is guaranteed to be unique across all sports/leagues.,False,False
9051000,FantasyGame,Updated,datetime,,True,The timestamp of when the record was last updated (US Eastern Time),True,False
9009000,Player,PlayerId,integer,32,False,The player's unique PlayerID as assigned by SportsDataIO.,True,False
9009000,Player,FirstName,string,50,True,The player's first name.,True,False
9009000,Player,LastName,string,50,True,The player's last name.,True,False
9009000,Player,CommonName,string,100,True,The player's common name.,True,False
9009000,Player,ShortName,string,50,True,The player's short name.,True,False
9009000,Player,Position,string,10,True,The position of the player. Possible values include: A (Attacker); M (Midfielder); D (Defender); GK (Goalkeeper),True,False
9009000,Player,PositionCategory,string,10,True,The player's position category. ,True,False
9009000,Player,Jersey,integer,32,True,The player's jersey number.,True,False
9009000,Player,Foot,string,10,True,The primary foot of the player. Possible values: left or right,True,False
9009000,Player,Height,integer,32,True,The player's height in cm.,True,False
9009000,Player,Weight,integer,32,True,The player's weight in kg.,True,False
9009000,Player,Gender,string,10,True,The gender of the player.,True,False
9009000,Player,BirthDate,datetime,,True,The player's date of birth.,True,False
9009000,Player,BirthCity,string,50,True,The city in which the player was born.,True,False
9009000,Player,BirthCountry,string,50,True,The country in which the player was born.,True,False
9009000,Player,Nationality,string,50,True,The nationality of the player.,True,False
9009000,Player,InjuryStatus,string,50,True,Indicates the player's injury status. Possible values include: Questionable; Out,True,True
9009000,Player,InjuryBodyPart,string,100,True,The body part that is injured (Knee; Groin; Calf; Hamstring; etc.),True,True
9009000,Player,InjuryNotes,string,250,True,Not yet supported; will be null.,True,True
9009000,Player,InjuryStartDate,date,,True,The day that the injury started or first discovered.,True,False
9009000,Player,Updated,datetime,,True,The date and time the player's status was updated. (EST/EDT),True,False
9009000,Player,PhotoUrl,string,100,True,This field is deprecated. Photos are no longer available through it. Headshots are now delivered through IMAGN. Please see our Headshots products for further information.,True,False
9009000,Player,RotoWirePlayerID,integer,32,True,The player's cross reference PlayerID to the RotoWire news feed.,True,False
9009000,Player,DraftKingsPosition,string,50,True,The position of the player according to DraftKings.,True,False
9009000,Player,UsaTodayPlayerID,integer,32,True,The player's cross reference PlayerID to USA Today headshot data feeds.,True,False
9009000,Player,UsaTodayHeadshotUrl,string,100,True,The player's headshot URL as provided by USA Today. License from USA Today is required.,True,False
9009000,Player,UsaTodayHeadshotNoBackgroundUrl,string,100,True,The player's transparent background headshot URL as provided by USA Today. License from USA Today is required.,True,False
9009000,Player,UsaTodayHeadshotUpdated,datetime,,True,The last updated date of the player's headshot as provided by USA Today. License from USA Today is required.,True,False
9009000,Player,UsaTodayHeadshotNoBackgroundUpdated,datetime,,True,The last updated date of the player's transparent background headshot as provided by USA Today. License from USA Today is required.,True,False
9046000,PlayerBasic,PlayerId,integer,32,False,The player's unique PlayerID as assigned by SportsDataIO.,True,False
9046000,PlayerBasic,FirstName,string,50,True,The player's first name.,True,False
9046000,PlayerBasic,LastName,string,50,True,The player's last name.,True,False
9046000,PlayerBasic,CommonName,string,100,True,The player's common name.,True,False
9046000,PlayerBasic,ShortName,string,50,True,The player's short name.,True,False
9046000,PlayerBasic,Position,string,10,True,The position of the player. Possible values include: A (Attacker); M (Midfielder); D (Defender); GK (Goalkeeper),True,False
9046000,PlayerBasic,PositionCategory,string,10,True,The player's position category.,True,False
9046000,PlayerBasic,Jersey,integer,32,True,The player's jersey number.,True,False
9046000,PlayerBasic,Foot,string,10,True,The primary foot of the player. Possible values: left or right,True,False
9046000,PlayerBasic,Height,integer,32,True,The player's height in cm.,True,False
9046000,PlayerBasic,Weight,integer,32,True,The player's weight in kg.,True,False
9046000,PlayerBasic,Gender,string,10,True,The gender of the player.,True,False
9046000,PlayerBasic,BirthDate,datetime,,True,The player's date of birth.,True,False
9046000,PlayerBasic,BirthCity,string,50,True,The city in which the player was born.,True,False
9046000,PlayerBasic,BirthCountry,string,50,True,The country in which the player was born.,True,False
9046000,PlayerBasic,Nationality,string,50,True,The nationality of the player.,True,False
9046000,PlayerBasic,Updated,datetime,,True,The date and time the player's status was updated. (EST/EDT),True,False
9010000,Membership,MembershipId,integer,32,False,The unique ID for the membership,True,False
9010000,Membership,TeamId,integer,32,False,The unique ID for the team,True,False
9010000,Membership,PlayerId,integer,32,False,The player's unique PlayerID as assigned by SportsDataIO.,True,False
9010000,Membership,PlayerName,string,100,True,The full name of the player.,True,False
9010000,Membership,TeamName,string,50,True,Name of the team,True,False
